,,,,,,
,모각작 서비스 정책 관리,,,,,
,,,,,,
,,,,,,
,,,,,,
,대분류,중분류,내용,구현 여부,출처/위치,비고
,📜 이용대상·약관·계정,,,,,
,이용대상,가입/진입,소셜 로그인(Kakao/Google) 후 회원가입 완료자가 이용,구현됨(FE+BE),mogakjak-be OAuth/User · mogakjak-fe auth/callback,
,가입 약관,필수 동의,서비스 이용약관 + 개인정보 처리방침 모두 동의 필수,구현됨(FE+BE),BE User.termsAgreed/privacyAgreed · AgreementGateFilter · FE agreements/,
,,선택 동의,마케팅 정보 수신 동의,구현됨(FE+BE),User.marketingAgreed · FE AgreementComponent,
,서비스 해지,자진 탈퇴,회원 soft delete(isDeleted/deletedAt),구현됨(FE+BE),BE User 탈퇴 API · FE 탈퇴 UI,진행 중 그룹 조건은 코드에 없음
,,사용자 데이터 규정,,,,
,,,,,,
,,,,,,
,,,,,,
,🫥 상태·용어,,,,,
,상태 및 용어,활동 상태 (접속),"모각작 사이트에 접속(로그인) 중인 상태로, 이 상태여야만 '콕 찌르기' 대상이 됨. 미접속 상태일 경우 마지막 접속 시점으로부터의 경과 시간(예: n분 전)이 표시됨.",구현됨(FE),,콕 버튼 제약은 FE만. BE poke는 멤버십만 검사
,상태 및 용어,몰입 상태,"실제로 유저가 개인 타이머를 실행하여 작동시키고 있는 상태를 뜻함.
= GroupParticipationStatus.PARTICIPATING",구현됨(FE+BE),,
,상태 및 용어,휴식(세션 참여),그룹방 입장 후 타이머 미실행 = RESTING,구현됨(FE+BE),UserGroup.enterGroup → RESTING · leaveGroupSession → NOT_PARTICIPATING,
,상태 및 용어,미참여,그룹 멤버이나 방 세션 미입장 = NOT_PARTICIPATING,구현됨(FE+BE),UserGroup 기본값 · leaveGroupSession,
,,,,,,
,,,,,,
,,,,,,
,1. 사이드바 및 개인타이머 정책,,,,,
,사이드바(홈),명언,요청/새로고침마다 랜덤 명언,구현됨(FE+BE),QuoteService/getRandomQuote · FE previewMain Quotes,
,사이드바(그룹방),작업 공개여부 설정,"그룹방 진입 시 '공개 여부'는 매번 ""공개"" 상태로 초기화됨.",구현됨(FE),FE previewMain/group 사이드바 useState(true) · FocusSession 기본 isTaskPublic/isTimerPublic=true,
,사이드바 (공통),프로필 캐릭터,유저가 가장 최근에 획득한 캐릭터(최고 레벨 케릭터)가 노출됨,구현됨(FE+BE),MyPage 프로필 getHighestLevelCharacter · mainImageCharacter 미사용(주석),
,사이드바 (공통),작업 설정,설정된 작업은 홈/그룹방 이동 시 유지,데이터만(DB),todo DB · 사이드바 상태,
