대분류,중분류,내용(쉬운 설명),내용(코드/구현),구현 여부,출처/위치,중복 정책(대분류-중분류),비고
할일-접근,메뉴 진입,헤더 '할 일' → /todo,HeaderButton href=/todo,구현됨(FE),Header.tsx,,
할일-접근,로그인 필요,refresh 토큰 없으면 /login 리다이렉트,middleware !refreshValid,구현됨(FE),middleware.ts,이용대상-가입/진입,
할일-접근,모바일,모바일 UA도 /todo 접근 가능(홈만 /landing 분기),middleware는 / 만 모바일 리다이렉트,구현됨(FE),middleware.ts,홈-접근-모바일리다이렉트,
할일-레이아웃,2단 구조,좌 360px 카테고리 사이드바 + 우 작업 목록,max-w 1440 · gap-5,구현됨(FE),todo/page.tsx,,
할일-레이아웃,플로팅 FAB,하단 UI Bowl + 문의하기,mypage floatingButton 재사용,구현됨(FE),todo/page.tsx · floatingButton.tsx,홈-레이아웃-플로팅FAB · 마이페이지-공통-FAB,
할일-필터,오늘/전체,사이드바 필터 today | all,DayFilter state · FilterPill,구현됨(FE),category.tsx · page.tsx,,
할일-필터,오늘 목록,오늘 작업 목록 + 날짜 라벨,GET /api/todos/today · 오늘 작업 목록 헤더,구현됨(FE+BE),useTodoController · TodoServiceImpl,,
할일-필터,전체 목록,전체 투두리스트(모든 날짜),GET /api/todos/my · 최근 생성순,구현됨(FE+BE),useMyTodos · TodoRepository,,
할일-필터,카테고리 선택,전체 또는 특정 카테고리만 우측 표시,selectedId all | categoryId,구현됨(FE),page.tsx L116-118,,
할일-카테고리,생성,이름+색상으로 카테고리 추가 · Enter로 저장,POST /api/todos/categories · displayOrder=max+1,구현됨(FE+BE),category.tsx · TodoServiceImpl,,
할일-카테고리,이름 제한,최대 20자,@Size(max=20) · BE 검증,구현됨(FE+BE),Category.java · CreateCategoryRequest,,
할일-카테고리,색상,7색(RED~PURPLE) 순환 기본값,CategoryColor enum · CATEGORY_COLOR_TOKENS,구현됨(FE+BE),categoryColor.ts · CategoryColor.java,집중리포트-차트-카테고리색,
할일-카테고리,개수 제한,카테고리 최대 개수 제한 없음,BE 생성 시 count 검사 없음,구현됨(BE),TodoServiceImpl.createCategory,,
할일-카테고리,수정,이름·색상 변경,PUT /api/todos/categories,구현됨(FE+BE),categoryRow · TodoServiceImpl,,
할일-카테고리,삭제,카테고리 삭제 시 하위 할 일 전부 삭제,softDelete cascade · ConfirmModal,구현됨(FE+BE),categoryRow · TodoServiceImpl.deleteCategory,,
할일-카테고리,순서 변경,드래그 핸들로 순서 변경,PATCH /api/todos/categories/order · 전체 ID 일치 필수,구현됨(FE+BE),categoryRow · updateCategoryOrder,,
할일-카테고리,접기 상태,isExpanded DB 저장·조회만 · 변경 API 없음,Category.isExpanded default true,데이터만(DB),Category.java · CategoryResponse,,
할일-작업,생성,카테고리·제목·날짜·목표시간으로 할 일 추가,POST /api/todos,구현됨(FE+BE),addWorkForm · TodoServiceImpl,,
할일-작업,제목 제한,최대 35자,@Size(max=35) task,구현됨(FE+BE),CreateTodoRequest · workTitleField,,
할일-작업,목표시간,최소 1분~최대 24시간(60~86400초),FE DurationField + BE @Range(60;86400),구현됨(FE+BE),durationField · CreateTodoRequest,,
할일-작업,날짜,과거·미래·오늘 모두 허용,date @NotNull만 · 과거/미래 제한 없음,구현됨(FE+BE),dateField · TodoServiceImpl,,
할일-작업,개수 제한,할 일 최대 개수 제한 없음,BE 생성 시 count 검사 없음,구현됨(BE),TodoServiceImpl.createTodo,,
할일-작업,수정,카테고리·제목·날짜·목표시간 변경,PUT /api/todos/{id},구현됨(FE+BE),addWorkForm type=edit · todoList,,
할일-작업,삭제,할 일 1건 삭제(확인 모달),DELETE /api/todos/{id} · softDelete,구현됨(FE+BE),workItem ConfirmModal · TodoServiceImpl,,
할일-작업,완료 토글,체크박스로 완료/미완료 전환,PATCH /api/todos/{id}/complete · isCompleted 토글만,구현됨(FE+BE),workItem · Todo.toggleComplete,,
할일-작업,완료 UI,완료 시 100%·취소선·opacity 50%,workItem completed 분기,구현됨(FE),workItem.tsx,,
할일-작업,달성률,actualTime/targetTime 기준 % · 최대 100%,FE Math.min(100) · BE progressRate,구현됨(FE+BE),workItem · TodoResponse,사이드바(공통)-작업달성률,
할일-작업,누적시간 표시,카드에 actualTimeInSeconds HH:MM:SS 표시,currentSeconds from todo.actualTimeInSeconds,구현됨(FE+BE),workItem toHHMMSS,사이드바(공통)-작업누적시간,
할일-작업,누적시간 증가,개인 타이머 pause/finish/뽀모도로 완료 시 가산,FocusSessionServiceImpl.addActualTime · API 직접 수정 불가,구현됨(BE),FocusSessionServiceImpl · Todo.addActualTime,개인타이머-세션종료,
할일-작업,드래그이동,미완료 할 일만 다른 카테고리로 DnD,useTodoDragAndDrop → updateTodo categoryId 변경,구현됨(FE),todoList · useTodoDragAndDrop,,
할일-작업,오늘하기,과거 날짜 미완료 작업 → 날짜를 오늘로 변경,onDoToday updateTodo date=new Date() + 토스트,구현됨(FE),todoList L369-383,,
할일-작업,과거날짜 추가제한,과거 날짜에서 신규 추가 버튼 숨김,isPastDate && type!==select/edit → showSubmitButton false,구현됨(FE),addWorkForm.tsx,,
할일-작업,빈 목록,오늘 필터·항목 0건 시 안내 문구,totalItemsCount===0 empty state,구현됨(FE),todoList.tsx,,
