,,,,,,,
,🍅 모각작 서비스 정책 관리,,,,,,
,,,,,,,
,,,,"구현됨(FE+BE) = FE와 BE 모두에 해당 규칙이 있음
구현됨(FE) = FE에만 규칙(가드/UI). BE 검증 없음 또는 미연동
구현됨(BE) = BE에만 규칙(API/도메인). FE UI 없음 또는 미연동
데이터만(DB) = 전용 정책 로직보다 DB 저장값으로 유지·조회되는 수준

빈칸 = 기능 없음/라벨 비해당 (예: 그룹방 채팅)",,,
,,,,,,,
,정책 ID,대분류,중분류,내용,구현 여부,출처/위치,비고
,📜 이용대상·약관·계정,,,,,,
,POL-001,이용대상,가입/진입,소셜 로그인(Kakao/Google) 후 회원가입 완료자가 이용,구현됨(FE+BE),mogakjak-be OAuth/User · mogakjak-fe auth/callback,
,POL-002,가입 약관,필수 동의,서비스 이용약관 + 개인정보 처리방침 모두 동의 필수,구현됨(FE+BE),BE User.termsAgreed/privacyAgreed · AgreementGateFilter · FE agreements/,
,POL-003,,선택 동의,마케팅 정보 수신 동의,구현됨(FE+BE),User.marketingAgreed · FE AgreementComponent,
,POL-004,서비스 해지,자진 탈퇴,회원 soft delete(isDeleted/deletedAt),구현됨(FE+BE),BE User 탈퇴 API · FE 탈퇴 UI,진행 중 그룹 조건은 코드에 없음
,,,사용자 데이터 규정,,,,
,,,,,,,
,🫥 상태·용어,,,,,,
,POL-005,,,,,,
,POL-006,🫥 상태·용어,,,,,
,POL-007,상태 및 용어,활동 상태 (접속),"모각작 사이트에 접속(로그인) 중인 상태로, 이 상태여야만 '콕 찌르기' 대상이 됨. 미접속 상태일 경우 마지막 접속 시점으로부터의 경과 시간(예: n분 전)이 표시됨.",구현됨(FE),,
,POL-008,상태 및 용어,몰입 상태,"실제로 유저가 개인 타이머를 실행하여 작동시키고 있는 상태를 뜻함.
= GroupParticipationStatus.PARTICIPATING",구현됨(FE+BE),,
,,상태 및 용어,휴식(세션 참여),그룹방 입장 후 타이머 미실행 = RESTING,구현됨(FE+BE),UserGroup.enterGroup → RESTING · leaveGroupSession → NOT_PARTICIPATING,
,1. 사이드바 및 개인타이머 정책,상태 및 용어,미참여,그룹 멤버이나 방 세션 미입장 = NOT_PARTICIPATING,구현됨(FE+BE),UserGroup 기본값 · leaveGroupSession,
,POL-009,,,,,,
,POL-010,,,,,,
,POL-011,,,,,,
,POL-012,1. 사이드바 및 개인타이머 정책,,,,,
,POL-013,사이드바(홈),명언,요청/새로고침마다 랜덤 명언,구현됨(FE+BE),QuoteService/getRandomQuote · FE previewMain Quotes,
