대분류,중분류,내용(쉬운 설명),내용(코드/구현),구현 여부,출처/위치,중복 정책(대분류-중분류),비고
집중리포트-접근,메뉴 진입,헤더 '집중 리포트' → /record,HeaderButton href=/record,구현됨(FE),Header.tsx,,
집중리포트-접근,로그인 필요,refresh 토큰 없으면 /login,middleware !refreshValid,구현됨(FE),middleware.ts,이용대상-가입/진입,
집중리포트-접근,약관 언급,개인정보처리방침에 타이머 로그·집중 리포트 분석 명시,agreementTexts.ts,구현됨(FE),agreements/constants,,
집중리포트-레이아웃,페이지 구성,상단 몰입기록 히트맵 + 하단 대시보드 + FAB,RecordMain + DashBoradMain + FloatingButtons,구현됨(FE),record/page.tsx,마이페이지-공통-FAB,
집중리포트-레이아웃,최대 너비,max-w 1440px 중앙 정렬,page.tsx container,구현됨(FE),record/page.tsx,,
집중리포트-히트맵,데이터 소스,focus_interval 기반 일별 몰입 시간(초),GET /api/records/daily · FocusIntervalRepository,구현됨(FE+BE),useDailyRecords · FocusRecordServiceImpl,,
집중리포트-히트맵,집계 대상,FOCUS·NORMAL phase만 포함 · BREAK 제외,SQL phase_type IN (FOCUS; NORMAL),구현됨(BE),FocusIntervalRepository,,
집중리포트-히트맵,기간,당해 연도 1/1~12/31 전체 일별(없는 날 0),Year.now() 범위 · 연도 선택 UI 없음,구현됨(FE+BE),FocusRecordServiceImpl · recordBoard,,
집중리포트-히트맵,그리드,53열×7행 GitHub 스타일 캘린더,COLS=53 ROWS=7 · dayOfWeek 월=1,구현됨(FE),recordBoard.tsx,,
집중리포트-히트맵,색상 레벨,0~1h / 1~3h / 3~6h / 6~9h / 9h+ 5단계,secondsToLevel · recordLegend,구현됨(FE),recordBoard · recordLegend,,
집중리포트-히트맵,툴팁,날짜별 몰입 시간 XXh YYm 표시,RecordToolTip formatHMS,구현됨(FE),recordToolTip.tsx,,
집중리포트-히트맵,캐시,5분 staleTime,useDailyRecords staleTime 5min,구현됨(FE),useDailyRecords.ts,,
집중리포트-히트맵,이슈-데이터잘림,col>=53 셀 버림 · 윤년+연초요일에 말일 누락 가능,recordBoard col<COLS 조건,구현됨(FE),recordBoard.tsx,,
집중리포트-대시보드,탭,오늘(기본)·이번 주·이번 달·전체,tabs.tsx · rangeType TODAY/WEEK/MONTH/ALL,구현됨(FE+BE),tabs.tsx · DashboardRangeType,,
집중리포트-대시보드,기간-오늘,오늘 00:00~23:59:59.999,DashboardRange.of(TODAY),구현됨(BE),DashboardRange.java,,
집중리포트-대시보드,기간-이번주,이번 주 월요일 00:00 ~ 다음 월요일 직전,서버 LocalDate 기준,구현됨(BE),DashboardRange.java,,
집중리포트-대시보드,기간-이번달,이번 달 1일 ~ 다음 달 1일 직전,서버 LocalDate 기준,구현됨(BE),DashboardRange.java,,
집중리포트-대시보드,기간-전체,1970-01-01 ~ now,ALL range,구현됨(BE),DashboardRange.java,,
집중리포트-대시보드,API,GET /api/records/dashboard?rangeType=,FocusRecordController.getDashboard,구현됨(FE+BE),api/records · FocusRecordServiceImpl,,
집중리포트-대시보드,리페치,마운트·포커스 시 항상 refetch,staleTime 0 refetchOnMount always,구현됨(FE),useRecordDashboard.ts,,
집중리포트-요약카드,총 몰입시간,선택 기간 focus_session.total_duration 합,summary.totalSeconds,구현됨(FE+BE),cards.tsx · FocusSessionRepository,,
집중리포트-요약카드,모각작 몰입,그룹 참여 세션 시간 합,participationType=GROUP,구현됨(FE+BE),cards.tsx · sumGroupSeconds,그룹타이머-세션,
