대분류,중분류,내용(쉬운 설명),내용(코드/구현),구현 여부,출처/위치,중복 정책(대분류-중분류),비고
마이페이지-접근,메뉴 진입,헤더 프로필 아이콘 → /mypage,ProfileButton href=/mypage,구현됨(FE),ProfileButton.tsx,,
마이페이지-접근,로그인 필요,refresh 토큰 없으면 /login,middleware !refreshValid,구현됨(FE),middleware.ts,이용대상-가입/진입,
마이페이지-접근,현재 페이지 표시,pathname===/mypage 시 프로필 버튼 활성,isMypage 분기,구현됨(FE),ProfileButton.tsx,,
마이페이지-레이아웃,2단 구조,좌 메뉴탭+프로필 패널 + 우 보드,max-w 1440 · pt-9,구현됨(FE),mypage/page.tsx,,
마이페이지-레이아웃,메뉴 탭,내 과일 바구니(기본)·내 모각작 메이트 2개,menuMain selectedMenu state,구현됨(FE),menuMain.tsx · page.tsx,,
마이페이지-레이아웃,프로필 패널,탭이 아닌 좌측 고정·항상 표시,Profile basket prop,구현됨(FE),profileMain.tsx,,
마이페이지-레이아웃,로딩,character-basket 로딩 중 스켈레톤,useCharacterBasket isLoading,구현됨(FE),page.tsx · loading.tsx,,
마이페이지-레이아웃,플로팅 FAB,UI Bowl + 문의하기,floatingButton.tsx,구현됨(FE),mypage/page.tsx,홈-레이아웃-플로팅FAB · 할일-레이아웃-FAB,
마이페이지-프로필,표시 항목,닉네임·이메일·프로필 이미지·완료 작업·완료 시간·수집 캐릭터 수,GET /api/mypage/character-basket,구현됨(FE+BE),profileMain · MyPageServiceImpl,,
마이페이지-프로필,완료 작업 수,완료+미삭제 todo 건수,totalTaskCount countByUserAndIsCompleted,구현됨(BE),MyPageServiceImpl,할일-작업-완료토글,
마이페이지-프로필,완료한 시간,완료 todo의 actualTimeInSeconds 합 → N시간 N분,sumCompletedWorksTimeByUser,구현됨(BE),MyPageServiceImpl,할일-작업-누적시간,
마이페이지-프로필,대표 캐릭터,보유 중 최고 레벨 캐릭터,getHighestLevelCharacter,구현됨(FE+BE),MyPageServiceImpl,사이드바(공통)-프로필캐릭터 · 캐릭터-노출,
마이페이지-프로필,프로필 수정,이름·이메일·이미지 변경 모달,PATCH /api/mypage/profile · 비어있지 않은 필드만,구현됨(FE+BE),profileEditModal · useUpdateProfile,,
마이페이지-프로필,닉네임 제한,최대 20자·중복 불가,@Size(max=20) NICKNAME_ALREADY_EXISTS,구현됨(BE),UpdateProfileRequest · MyPageServiceImpl,,
마이페이지-프로필,이메일 제한,@Email 형식·중복 불가,EMAIL_ALREADY_EXISTS,구현됨(BE),UpdateProfileRequest,,
마이페이지-프로필,이미지 업로드,presigned URL · prefix profiles,useUploadImage,구현됨(FE),profileEditModal,,
마이페이지-프로필,계정설정,톱니 → 로그아웃·계정 탈퇴 팝오버,AccountSettingsModal floating-ui,구현됨(FE),accountSettingsModal.tsx,,
마이페이지-프로필,로그아웃,POST /api/auth/logout → /login,accountSettingsModal,구현됨(FE+BE),accountSettingsModal,,
마이페이지-탈퇴,1단계,탈퇴 사유 5종 중복선택 + 자유 피드백,deleteAccountModal LEAVE_REASONS,구현됨(FE),deleteAccountModal.tsx,,
마이페이지-탈퇴,2단계,즉시 삭제·복구 불가 재확인,deleteAccountConfirmModal,구현됨(FE),deleteAccountConfirmModal.tsx,,
마이페이지-탈퇴,API,DELETE /api/users/withdrawal · 사유 미전송,useDeleteAccount body 없음,구현됨(FE+BE),useDeleteAccount · UserService,서비스해지-자진탈퇴,
마이페이지-탈퇴,처리 방식,soft delete isDeleted=true deletedAt=now,User.withdraw,구현됨(BE),User.java · UserService,서비스해지-자진탈퇴,
마이페이지-탈퇴,재로그인,탈퇴 계정 WITHDRAWN_USER 에러,AuthService,구현됨(BE),AuthService,서비스해지-자진탈퇴,
마이페이지-탈퇴,그룹 조건,진행 중 그룹 있어도 탈퇴 가능(코드 검증 없음),UserService withdrawal,구현됨(BE),UserService,서비스해지-자진탈퇴,기존 정책 시트와 동일
마이페이지-바구니,그리드,12레벨 고정 4열 카드,grid-cols-4 · CHARACTER_BY_HOURS,구현됨(FE),boardBasket · character.tsx,캐릭터-단계,
마이페이지-바구니,보유 표시,내 과일 바구니 (N/12),ownedCharacters.length,구현됨(FE),boardBasket.tsx,,
마이페이지-바구니,잠금 UI,미보유 시 N시간 달성 후 만나요,FE CHARACTER_BY_HOURS 상수 · lockedCharacters API 미사용,구현됨(FE),character.tsx · _constants/character.ts,캐릭터-단계,
마이페이지-바구니,과일 도감,정적 테이블 모달(Lv1=회원가입),characterModal rows · getCharacterByHours,구현됨(FE),characterModal.tsx,,
마이페이지-바구니,도감 API,GET /characters/guide 존재하나 UI 미사용,useCharactersGuide 훅만,구현됨(BE),MyPageController · useCharactersGuide,,
마이페이지-바구니,해금 조건,누적 학습시간 >= unlockTimeInSeconds,POST /api/characters/check-award,구현됨(FE+BE),ImageCharacterServiceImpl · useReviewPopup,캐릭터-성장기준,
마이페이지-바구니,해금 시점,세션 리뷰 팝업 제출 후 check-award 호출,useReviewPopup refetchTotalStudyTime,구현됨(FE),useReviewPopup.ts,개인타이머-세션종료,
마이페이지-바구니,대표 변경 API,PATCH /api/mypage/character 존재·UI 미연동,useUpdateCharacter 훅만,구현됨(BE),MyPageController · useUpdateCharacter,캐릭터-노출,
마이페이지-바구니,BE 명칭,API 주석 '내 채소 바구니' · FE '내 과일 바구니',Swagger vs UI 불일치,구현됨(FE+BE),MyPageController · boardBasket,,
마이페이지-누적시간,캐릭터용,GET /total-study-time = todo actualTime 전체 합(완료 무관),sumActualTimeByUser,구현됨(BE),MyPageServiceImpl.getTotalStudyTime,캐릭터-성장기준,
마이페이지-누적시간,프로필용,character-basket totalFocusTime = 완료 todo actualTime만,sumCompletedWorksTimeByUser,구현됨(BE),MyPageServiceImpl,집중리포트-데이터-마이페이지차이,
마이페이지-누적시간,집계 불일치,해금 기준 vs 프로필 표시 vs 리포트가 서로 다른 소스,3-way mismatch,구현됨(FE+BE),MyPage vs FocusRecord,집중리포트-데이터-마이페이지차이 · 할일-작업-누적시간,
마이페이지-메이트,목록 API,GET /api/groups/mates 페이지네이션,pageSize=6 (BE 기본 10),구현됨(FE+BE),boardMate · GroupController,홈-메이트-목록,
마이페이지-메이트,그룹 필터,전체 그룹 또는 내 그룹 목록 선택,useMyGroups dropdown,구현됨(FE),boardMate · dropdownList,,
마이페이지-메이트,검색,닉네임 검색·submit 시에만 반영,submittedSearch · SearchBar,구현됨(FE),searchBar · boardMate,메이트검색-부분일치 · 홈-메이트-검색,
마이페이지-메이트,실시간 상태,WS /topic/mates/active-status,profileList useMatesActiveStatus,구현됨(FE+BE),profileList.tsx,상태및용어-활동상태,
마이페이지-메이트,콕 찌르기,활성 메이트만 · 공통 그룹 선택,forkButton usePoke,구현됨(FE),forkButton · forkPopup,콕찌르기-전반 · 홈-메이트-콕,
마이페이지-메이트,빈 목록,그룹 없음/검색无 결과 안내 문구,boardMate empty state,구현됨(FE),boardMate.tsx,,
마이페이지-메이트,라운지 제외,홈과 달리 마이페이지 메이트 필터에 라운지 제외 로직 없음,useMates groupId 필터만,구현됨(FE),boardMate.tsx,공식라운지-홈UI · 홈-메이트-필터,
마이페이지-연동,헤더 프로필,GET /api/mypage/profile 별도(명언·대표캐릭터),useProfile Header·Preview,구현됨(FE+BE),useProfile · previewMain,홈-Preview-구성 · 사이드바(공통)-프로필캐릭터,
마이페이지-연동,캐릭터 획득 모달,획득 시 '마이페이지>내 과일 바구니' 안내,gainCharacterModal,구현됨(FE),gainCharacterModal.tsx,,
