대분류,중분류,정책내용(권장문구),문서상태,구현상태,근거_출처,비고
===== 정리안내 =====,이 시트 사용법,"타서비스 양식에서 잘못 들어온 행은 '문서상태=타서비스혼입_삭제권장'. 모각작 정책만 유지하고 근거 컬럼을 채움",안내,,,,"Google Sheet gid=0 재검토(2026-07-27). FE/BE: github.com/mogakjak"
===== 삭제권장(타서비스 혼입) =====,,,,,,
이용대상,연령 제한,만 14세 이상 이용 가능,타서비스혼입_삭제권장,해당없음,약관/코드에 연령 검증 없음,"모각작 정책 아님. 참고 양식 잔재"
서비스 제한,진입 제한,진행 중 모임 있으면 신규 생성 제한,타서비스혼입_삭제권장,해당없음,GroupServiceImpl.createGroup에 제한 없음,모각작 정책 아님
서비스 제한,참여 제한,최대 참여 모임 수 초과 시 제한,타서비스혼입_삭제권장,해당없음,유저당 그룹 수 상한 코드 없음,모각작 정책 아님
이용정지,페널티 누적 ~ 영구 정지,페널티/신고/무단불참/영구정지,타서비스혼입_삭제권장,해당없음,관련 도메인/코드 없음,모각작 정책 아님
서비스 해지,환불 규정,잔여 보증금 전액 환불,타서비스혼입_삭제권장,해당없음,보증금 코드 없음,모각작 정책 아님
서비스 해지,자진 탈퇴(모임 조건),진행 중 모임 없어야 탈퇴 가능,타서비스혼입_삭제권장,해당없음,탈퇴는 user soft delete(그룹 진행 조건 없음),문구 수정 필요시 아래 '계정 탈퇴' 참고
===== 0. 이용대상·약관·계정 =====,,,,,,
이용대상,가입/진입,소셜 로그인(Kakao/Google) 후 회원가입 완료자가 이용,유지정책,구현됨(FE+BE),mogakjak-be OAuth/User · mogakjak-fe auth/callback,
가입 약관,필수 동의,서비스 이용약관 + 개인정보 처리방침 모두 동의 필수,유지정책,구현됨(FE+BE),BE User.termsAgreed/privacyAgreed · AgreementGateFilter · FE agreements/,마케팅은 선택
가입 약관,선택 동의,마케팅 정보 수신 동의(선택),유지정책,구현됨(FE+BE),User.marketingAgreed · FE AgreementComponent,
계정,탈퇴,회원 soft delete(isDeleted/deletedAt),유지정책,구현됨(BE+FE),BE User 탈퇴 API · FE 탈퇴 UI,진행 중 그룹 조건은 코드에 없음
===== 1. 상태·용어 =====,,,,,,
상태 및 용어,활동 상태(접속),사이트 접속/활성(isActive)일 때 콕 대상. 미접속 시 경과시간 표시,유지정책_수정권장,반쪽(FE제한·BE미검증),FE forkButton disabled={!active} · BE User.isActive · BE sendPokeNotification은 멤버십만 검사,문서의 'Login 중'≈isActive(WS/타이머 연동)
상태 및 용어,몰입 상태,개인 타이머 실행 중 = GroupParticipationStatus.PARTICIPATING,유지정책,구현됨(BE+FE),BE FocusSessionServiceImpl.syncGroupParticipationStatus · FE groupPage 카드 active,
상태 및 용어,휴식(세션 참여),그룹방 입장 후 타이머 미실행 = RESTING,유지정책_추가,구현됨(BE),UserGroup.enterGroup → RESTING · leaveGroupSession → NOT_PARTICIPATING,문서에 용어로 추가 권장
상태 및 용어,미참여,그룹 멤버이나 방 세션 미입장 = NOT_PARTICIPATING,유지정책_추가,구현됨(BE),UserGroup 기본값 · leaveGroupSession,문서에 용어로 추가 권장
===== 2. 사이드바·개인타이머 =====,,,,,,
사이드바,프로필 캐릭터,사이드바에는 최고 레벨 캐릭터 노출(최근 획득이 아님),수정권장,구현됨(BE),MyPage 프로필 getHighestLevelCharacter · mainImageCharacter 미사용(주석),시트의 '최근 획득' → '최고 레벨'로 수정
사이드바,명언,요청/새로고침마다 랜덤 명언,유지정책,구현됨(BE+FE),QuoteService/getRandomQuote · FE previewMain Quotes,
사이드바,작업 유지,설정한 할일(작업)은 홈↔그룹 이동 시 유지,유지정책,구현됨(FE/DB),todo DB · 사이드바 상태,
사이드바,공개 여부 초기화,그룹방 진입(컴포넌트 remount) 시 공개 토글 UI 기본값 true,수정권장,FE효과(BE리셋없음),FE previewMain/group 사이드바 useState(true) · FocusSession 기본 isTaskPublic/isTimerPublic=true,BE가 입장마다 강제 리셋하는 로직은 없음
개인타이머,달성률 상한,화면 달성률은 최대 100%,유지정책,구현됨(FE+BE),BE Math.min(100; progress) · FE todo 표시,
개인타이머,페이지 이동 시 종료,이동/이탈 시 종료는 경로별 부분 적용(전체 SPA 자동종료 아님),수정권장,반쪽(FE),useBlockPageNavigation · beforeunload finish/active · 그룹 내 네비 interceptor · 뒤로가기 모달,시트 '이동 시 강제종료'는 과장 → '주요 이탈 경로에서 종료 유도'로
개인타이머,누적 시간,오늘 기준 누적 합산 표시,유지정책,구현됨,개인 타이머/할일 actualTime · 사이드바 오늘 누적 UI,
===== 3. 소통·초대·온보딩 =====,,,,,,
콕 찌르기,버튼 활성화,상대 isActive일 때만 FE에서 버튼 활성,유지정책,FE만,mogakjak-fe .../mate/forkButton.tsx,BE poke는 온라인 미검사
콕 찌르기,대상 방 목록,함께 속한 그룹방 목록에서 선택,유지정책,구현됨(FE),forkPopup · common groups API,
