대분류,중분류,내용(쉬운 설명),내용(코드/구현),구현 여부,출처/위치,중복 정책(대분류-중분류),비고
홈-접근,PC/모바일 분기,PC는 3단 홈·모바일 UA는 별도 안내 화면,WithMobileDetection → isMobile ? MobileHomePage : HomePage,구현됨(FE),page.tsx · isMobileUserAgent.tsx,,
홈-접근,모바일 리다이렉트,모바일에서 / 직접 접근 시 /landing으로 보냄,middleware: pathname=/ && isMobile && !isBot → /landing,구현됨(FE),middleware.ts · auth/callback/route.ts,온보딩·라우팅-분기,
홈-접근,비로그인 차단,refresh 토큰 없으면 홈 포함 보호 경로 → /login,!refreshValid → login + 쿠키 삭제,구현됨(FE),middleware.ts,이용대상-가입/진입,
홈-레이아웃,3단 구조,왼쪽 개인 프리뷰 + 오른쪽(그룹 목록 + 메이트 목록),PreviewMain | RoomMain + FriendMain max-w 1440,구현됨(FE),homePage.tsx,,
홈-레이아웃,글로벌 헤더,PC 로그인 사용자만 홈에서 헤더 노출,ConditionalHeader pathname=/ && !isMobile,구현됨(FE),ConditionalHeader.tsx,,
홈-레이아웃,플로팅 FAB,하단 UI Bowl 투표 + 문의하기,HomeFloatingButtons,구현됨(FE),homeFloatingButtons.tsx · floatingUiBowlButton.tsx,,
홈-레이아웃,SEO,홈 메타·OG·JSON-LD,generateMetadata · WebApplication structured data,구현됨(FE),page.tsx · layout.tsx,,
홈-분석,첫 진입,세션당 1회 first_entrance,EntranceTracker + sessionStorage,구현됨(FE),entranceTracker.tsx,,
홈-온보딩,첫 방문 리다이렉트,isFirstVisit && !localStorage mg_onboarded_v1 → /onboarding,POST /users/onboarding + useOnboardingRedirect,구현됨(FE+BE),useOnboardingRedirect · User.isOnboard,온보딩·라우팅-분기,BE는 API 호출 시 isOnboard=true 즉시 저장(튜토리얼 중 이탈 시 FE/BE 불일치)
홈-온보딩,로그인 후 분기,모바일→landing / PC 첫방문→약관 / 그 외→홈,auth/callback · agreements → onboarding,구현됨(FE+BE),auth/callback · inviteRedirectLogic,온보딩·라우팅-분기 · 초대-외부링크,
홈-초대,pending invite,홈 도달 시 저장된 invite → /invite/{id},InviteRedirectHandler pathname===/,구현됨(FE),inviteRedirectHandler · pendingInvite,초대-외부링크 · 온보딩·라우팅-분기,
홈-Preview,구성,홈 좌측 327px = 프로필·명언·할일·개인 타이머,PreviewMain(state=false) → PreviewCharacter + Quotes + GroupMySidebar + Timer,구현됨(FE+BE),previewMain.tsx,사이드바(홈)-명언 · 사이드바(공통)-작업설정 · 개인타이머 전반,그룹방 사이드바 컴포넌트 재사용
홈-Preview,명언,그룹방이 아닐 때만 명언 박스,!state && Quotes,구현됨(FE+BE),previewMain · QuoteService,사이드바(홈)-명언,
홈-Preview,응원 UI 숨김,홈에서는 응원 카운트 UI 미노출,PreviewCharacter state=false → CheerUp 없음,구현됨(FE),previewCharacter.tsx,응원하기-전송조건,그룹방과 UI 차이
홈-Preview,할일 유지,선택 할일 localStorage selectedTodoId로 홈↔그룹 유지,GroupMySidebar + todoIdChanged,데이터만(DB),previewMain · groupMySidebar,사이드바(공통)-작업설정,
홈-Preview,공개 토글,홈 remount 시 공개 UI 기본 true,useState(true) isTaskPublic/isTimerPublic,구현됨(FE),previewMain.tsx,사이드바(그룹방)-작업공개여부,
홈-Preview,타이머 이탈 차단,홈에서도 타이머 중 페이지 이탈 시 종료 유도,NavigationBlocker · useBlockPageNavigation,구현됨(FE),providers · useBlockPageNavigation,사이드바(공통)-개인타이머강제종료,
홈-그룹목록,목록 API,내 그룹 전체 + 공식 라운지 항상 맨 위,GET /groups/my · fromOfficialLounge 선행 push,구현됨(FE+BE),roomMain · GroupServiceImpl.getMyGroups,그룹방_홈UI-몰입/휴식 · 공식라운지-홈UI,
홈-그룹목록,라운지 실시간,홈 라운지 카드 3초 polling + WS presence,useOfficialLoungeSummary refetchInterval 3000,구현됨(FE+BE),roomMain · useOfficialLoungePresenceSubscription,공식라운지-정원 · 공식라운지-홈UI,
홈-그룹목록,빈/로딩,스켈레톤 2행·그룹 0개 안내·320px 스크롤,RoomMain h-[320px],구현됨(FE),roomMain.tsx,,
홈-그룹목록,생성 CTA,새 그룹 생성하기 → RoomModal create,로딩 중 disabled(온보딩 highlight 예외),구현됨(FE+BE),roomMain · roomModal,그룹방_생성-생성필드 · 온보딩,
홈-그룹목록,생성 후 초대,생성 성공 직후 InviteModal 자동 오픈,handleGroupCreateSuccess → setInviteModalOpen,구현됨(FE),roomMain.tsx,초대-내부초대,
홈-그룹목록,몰입/휴식 배지,PARTICIPATING≥1 → 몰입 중 else 휴식 중,StateButton activeCount,구현됨(FE),groupRoom · StateButton,그룹방_홈UI-몰입/휴식배지,
홈-그룹목록,인원 표시,(타이머 실행)/(전체 멤버),activeCount/totalCount,구현됨(FE),groupRoom · members,그룹방_홈UI-인원표시,
홈-그룹목록,프로필 5+n,최대 5아이콘 +n hover 상세,Members max=5 · membersHover,구현됨(FE),members.tsx,그룹방_홈UI-프로필5+n,
홈-그룹목록,일반 그룹 입장,참여하기 → /group/{id} + enter timestamp 저장,router.push · sessionStorage group_enter_time,구현됨(FE+BE),groupRoom · groupPage,그룹방_세션-입장,
홈-그룹목록,라운지 입장,POST /lounge/enter 후 /lounge?entered=1 · 정원 초과 모달,useEnterOfficialLounge · officialLoungeFull,구현됨(FE+BE),groupRoom · OfficialLoungeService,공식라운지-정원 · 공식라운지-홈UI,
홈-그룹목록,그룹 탈퇴,일반 그룹만 케밥 → 그룹 나가기,LeavePopup → DELETE members/me,구현됨(FE+BE),groupRoom · leaveGroup,그룹방_탈퇴-일반멤버 · 그룹방_탈퇴-방장+다른멤버,
홈-그룹목록,방장 뱃지,본인 HOST인 일반 그룹에 왕관,member.role===HOST && currentUserId,구현됨(FE),groupRoom.tsx,그룹방_관리-이름/이미지,
홈-그룹목록,GA 체류,입장 시각 저장 → group_stay_duration,group_enter_time sessionStorage,구현됨(FE),groupRoom · groupPage,,
홈-생성모달,생성 필드,name + imageUrl,POST /api/groups,구현됨(FE+BE),roomModal · GroupServiceImpl.createGroup,그룹방_생성-생성필드,
홈-초대모달,메이트 초대,생성 후 메이트 검색·초대·이미 멤버 제외,invite-mates · POST invitations,구현됨(FE+BE),inviteModal,초대-내부초대 · 메이트검색-부분일치,
홈-초대모달,링크 복사,{origin}/invite/{groupId} · 라운지는 /lounge?entered=1 고정,inviteModal OFFICIAL_LOUNGE_GROUP_ID,구현됨(FE),inviteModal,초대-외부링크,
홈-메이트,목록,함께한 메이트 카드·무한 스크롤,useMates page size 6 · useInView,구현됨(FE+BE),friendMain · GET /groups/mates,메이트검색-부분일치,
홈-메이트,그룹 필터,드롭다운에 공식 라운지 제외,visibleGroups filter !isOfficialLounge,구현됨(FE),friendMain.tsx,공식라운지-홈UI,
홈-메이트,검색,Enter/버튼으로 닉네임 LIKE 검색,search trim → API,구현됨(FE+BE),searchBar · UserGroupRepository,메이트검색-부분일치,
