,,,,,,,데이터명,,,속성,,,,,,,,,,,
업데이트구분,데이터코드,플랫폼,,,대분류,중분류,,발생조건_또는_설명,데이터활용목적,속성1,속성2,속성3,유저속성,수집소스,DB테이블_또는_저장소,GA4_이벤트,파이프라인수집,파이프라인키,수집여부,우선순위,비고
신규,PIPE_PERSONAL_SESSIONS,Web,개인 타이머,개인타이머 공통,파이프라인,타이머,개인 타이머 세션(+구간),started_at이 수집일인 focus_session + intervals,개인·그룹내 개인 집중시간,mode,total_duration,intervals,user_id,"DB, 파이프라인 (자체)",focus_session + focus_interval,-,수집중,personal_sessions,수집중,-,data_pipeline 구현완료 / 핵심 KPI
기존,DB_FOCUS_SESSION,Web,,개인타이머 공통,타이머,세션,개인 타이머 세션(원본 DB),시작·일시정지·재개·종료 전체 라이프사이클,핵심 analytics,mode,status,total_duration,user_id,DB,focus_session,timer_start/pause/stop/complete,수집중,personal_sessions,수집중,-,active_focus_session은 휘발
기존,DB_FOCUS_INTERVAL,Web,,개인타이머 공통,타이머,구간,개인 타이머 뽀모도로 구간,focus/break 구간,뽀모도로 패턴 분석,phase_type,round,,user_id,DB,focus_interval,-,수집중,personal_sessions.intervals,수집중,-,
기존,GA_TIMER_START,Web,,개인타이머 공통,타이머,세션,타이머 시작(GA),개인 타이머 시작,시작 행동·설정값,timer_type,target_duration,,user_id,"GA4, GA4(+DB)",focus_session,timer_start,수집중(DB측),personal_sessions,부분수집,-,DB+GA 이중기록
기존,GA_TIMER_STOP,Web,,개인타이머 공통,타이머,세션,타이머 종료(GA),개인 타이머 stop,실제 집중시간,actual_focus_time,,,user_id,"GA4, GA4(+DB)",focus_session,timer_stop,수집중(DB측),personal_sessions,부분수집,-,
기존,GA_TIMER_COMPLETE,Web,,개인타이머 공통,타이머,세션,타이머 완료(GA),타이머 complete 알림/완료,완료율,,,,user_id,"GA4, GA4(+DB)",focus_session,timer_complete,수집중(DB측),personal_sessions,부분수집,-,
기존,TIMER_PIP,Web,,개인타이머 공통,타이머,UI,PiP 모드,화면 속 화면 사용,PiP 사용률,,,,user_id,클라이언트만,-,-,미수집,-,미수집,P3,
기존,E_TIMER_PAUSE,Web,,개인타이머 공통,타이머,세션,타이머 일시정지,유저가 타이머를 일시정지,집중 흐름 단절 지점 파악,elapsed_time,task_name,,user_id,"DB, GA4",focus_session,timer_pause,수집중,personal_sessions,수집중,-,예시양식 항목 / 파이프라인 세션에 포함
기존,E_TIMER_START_NO_TASK,Web,,개인타이머 공통,타이머,세션,할 일 미설정 시 타이머 시작 시도,할 일 없이 타이머 시작 시도,할 일 입력 유도 UX 적절성 판단,,,,user_id,GA4,-,timer_start_failed,미수집,-,부분수집(GA만),P2,예시양식 항목
