대분류,중분류,내용(쉬운 설명),내용(코드/구현),구현 여부,출처/위치,일반 그룹과 차이,중복 정책(대분류-중분류),비고
공식라운지,정체,시스템 운영 단일 공간·UserGroup 멤버십 없음,OfficialLoungeBootstrap · Group.isOfficialLounge,구현됨(BE),OfficialLoungeBootstrap.java,영구 멤버십 vs Redis presence,
공식라운지,정원,최대 20명·초과 시 입장 거부,Redis Lua ZCARD < 20 · OFFICIAL_LOUNGE_FULL,구현됨(FE+BE),OfficialLoungePresenceService · alertModal,일반:8 필드만·강제 없음,공식라운지-정원 · 홈-그룹목록-라운지입장,
공식라운지,입장,홈/직접 POST /lounge/enter → /lounge?entered=1,OfficialLoungeController enter,구현됨(FE+BE),useEnterOfficialLounge · loungePage,일반: GET group detail enterGroup,홈-그룹목록-라운지입장 · 그룹방_세션-입장,
공식라운지,퇴장,leave API + pagehide 자동 퇴실,DELETE /lounge/leave · presence 제거,구현됨(FE+BE),loungePage · OfficialLoungeService,일반: session/me만·멤버십 유지,그룹방_세션-세션퇴장,
공식라운지,홈 UI,케밥·탈퇴·방장 뱃지 없음,groupRoom !isOfficial → 케밥 숨김,구현됨(FE),groupRoom.tsx,일반: 케밥 탈퇴·왕관,홈-그룹목록-그룹탈퇴,
공식라운지,홈 실시간,3초 polling + WS presence 갱신,useOfficialLoungeSummary + presence subscription,구현됨(FE+BE),roomMain.tsx,일반: group member-status WS,홈-그룹목록-라운지실시간,
공식라운지,참여상태,개인타이머↔UserGroup participationStatus 동기화 안 함,FocusSessionServiceImpl officialLounge early return,구현됨(BE),FocusSessionServiceImpl,일반: start→PARTICIPATING,상태 및 용어-몰입상태,
공식라운지,WS 끊김,마지막 WS 세션 종료 시 자동 퇴실,StompEventListener,구현됨(BE),StompEventListener,일반: 세션 유지,
공식라운지,페이지 상단,오늘의 한마디(Quote) + 라운지 현황(N명) + 집중체크 개인 토글,loungePage 3칸 레이아웃,구현됨(FE),loungePage.tsx,일반: 그룹타이머+목표+방장집중체크,그룹 타이머 · 그룹방_목표표시 · 그룹방_관리-집중체크,
공식라운지,집중체크,매 시 정각·개인 opt-in(User.isOfficialLoungeFocusCheckEnabled),OfficialLoungeFocusNotificationScheduler cron 0 0 * * * *,구현됨(FE+BE),OfficialLoungeFocusNotificationService,일반: 방장·1~23h·타이머 실행 중만,그룹방_관리-집중체크알림,
공식라운지,집중체크 수신,presence 입실 + opt-in true (타이머 불필요),Redis presence members filter,구현됨(BE),OfficialLoungeFocusNotificationService,일반: ActiveFocusSession,그룹방_관리-집중체크수신자,
공식라운지,응원,POST /lounge/cheer · Redis cheer-count · 전원 퇴실 시 0,OfficialLoungeService.sendCheer,구현됨(FE+BE),useSendOfficialLoungeCheer,일반: UserGroup.cheerCount DB,응원하기-리셋조건,
공식라운지,초대,라운지 입실 중인 사람만 초대·수락 시 enter(),ensureCanInvite official branch,구현됨(BE),GroupServiceImpl,일반: 그룹 멤버,초대-내부초대,
공식라운지,초대 링크,고정 /lounge?entered=1 (inviteModal),OFFICIAL_LOUNGE_GROUP_ID,구현됨(FE),inviteModal,일반: /invite/{groupId},홈-초대모달-링크복사 · 초대-외부링크,
공식라운지,멤버카드,isHost 항상 false · presence+ActiveFocusSession 직접 계산,loungePage buildMember · OfficialLoungeService.buildMemberResponse,구현됨(FE+BE),loungePage · groupFriendField,일반: UserGroup WS,그룹방_멤버카드 전반,
공식라운지,멤버카드 lastActiveAt,ISO lastActiveAt 직접 사용,loungePage member.lastActiveAt,구현됨(FE+BE),OfficialLoungeMemberResponse,일반: daysSinceLastParticipation 역산,그룹방_멤버카드-최근참여,
공식라운지,메이트 필터,홈 메이트 드롭다운에서 라운지 제외,visibleGroups filter,구현됨(FE),friendMain,일반 그룹만 필터,홈-메이트-그룹필터,
공식라운지,입장 거절 로그,정원 초과 등 official_lounge_access_log,OfficialLoungeAccessLog,구현됨(BE),official_lounge_access_log,일반: 로그 없음,
공식라운지,그룹타이머,없음 (개인 타이머만),groupPage vs loungePage,해당없음,loungePage,일반: groupTimer,그룹 타이머-전체,
공식라운지,그룹목표,없음,goal UI 없음,해당없음,loungePage,일반: groupGoal,그룹방_목표표시-달성률,
