,🍅 모각작 서비스 정책 관리 (의미 있는 정책ID)

,ID 규칙,"도메인접두어-번호. 같은 정책은 어디서든 같은 ID. 정의행=정식정의, 참조=다른 섹션 재등장"
,레이아웃,3단구조·그리드·FAB·SEO·카드 배치 등 UI 레이아웃은 정책에서 제외

,정책ID,정의/참조,대분류,중분류,내용,구현 여부,출처/위치,노출위치,비고
,,,📜 이용대상·약관·계정,,,,,,
,AUTH-01,정의,이용대상,가입/진입,소셜 로그인(Kakao/Google) 후 회원가입 완료자가 이용,구현됨(FE+BE),OAuth/User · auth/callback,전역,
,AUTH-02,정의,가입 약관,필수 동의,서비스 이용약관 + 개인정보 처리방침 모두 동의 필수,구현됨(FE+BE),User.termsAgreed/privacyAgreed · AgreementGateFilter,전역,
,AUTH-03,정의,가입 약관,선택 동의,마케팅 정보 수신 동의,구현됨(FE+BE),User.marketingAgreed,전역,
,AUTH-04,정의,서비스 해지,자진 탈퇴,회원 soft delete(isDeleted/deletedAt),구현됨(FE+BE),User 탈퇴 API · FE 탈퇴 UI,마이페이지,진행 중 그룹 조건 코드 없음
,AUTH-05,정의,인증,비로그인 차단,refresh 토큰 없으면 보호 경로 → /login,구현됨(FE),middleware.ts,전역(홈·할일·리포트·마이페이지 등),
,,,🫥 상태·용어,,,,,,
,STATUS-01,정의,상태 및 용어,활동 상태(접속),사이트 접속(로그인) 중이어야 콕 찌르기 대상. 미접속 시 n분 전 표시,구현됨(FE),forkButton · mate active-status,홈·마이페이지 메이트,BE poke는 멤버십만 검사
,STATUS-02,정의,상태 및 용어,몰입 상태,개인 타이머 실행 중 = PARTICIPATING,구현됨(FE+BE),GroupParticipationStatus.PARTICIPATING,그룹방·홈 배지·멤버카드,
,STATUS-03,정의,상태 및 용어,휴식(세션 참여),그룹방 입장 후 타이머 미실행 = RESTING,구현됨(FE+BE),UserGroup.enterGroup,그룹방,
,STATUS-04,정의,상태 및 용어,미참여,멤버이나 방 세션 미입장 = NOT_PARTICIPATING,구현됨(FE+BE),UserGroup 기본값 · leaveGroupSession,그룹방,
,,,1. 사이드바·개인타이머,,,,,,
,SIDE-H-01,정의,사이드바(홈),명언,요청/새로고침마다 랜덤 명언,구현됨(FE+BE),QuoteService · previewMain Quotes,홈 Preview,
,SIDE-G-01,정의,사이드바(그룹방),작업 공개여부 초기화,그룹방 진입 시 공개 여부 UI는 매번 공개로 초기화,구현됨(FE),previewMain useState(true) · FocusSession 기본 true,그룹방 사이드바,
,SIDE-C-01,정의,사이드바(공통),프로필 캐릭터,보유 중 최고 레벨 캐릭터 노출,구현됨(FE+BE),getHighestLevelCharacter,홈·그룹방 사이드바·마이페이지,CHAR-03과 동일 의미 → 본 ID를 캐릭터 노출 정본으로 사용
,SIDE-C-02,정의,사이드바(공통),작업 선택 유지,선택한 작업은 홈↔그룹방 이동 시 유지(selectedTodoId),데이터만(DB),localStorage · GroupMySidebar,홈·그룹방,
,SIDE-C-03,정의,사이드바(공통),작업 달성률,화면 달성률 최대 100%,구현됨(FE+BE),"Math.min(100, progress)",홈·그룹방 사이드바·할일 카드,
,SIDE-C-04,정의,사이드바(공통),작업 누적 시간,할일(1일 단위) actualTimeInSeconds 누적 표시,데이터만(DB),todo.actualTime · groupMySidebar,홈·그룹방 사이드바,멤버카드 TO-BE(CHG-001)와 동일 소스 목표
,SIDE-C-05,정의,사이드바(공통),개인 타이머 강제 종료,타이머 실행/휴식 중 페이지 이동 시 강제 종료 유도,구현됨(FE),NavigationBlocker · forceStopTimer,홈·그룹방,모든 SPA 이동 자동종료는 아님
,TIMER-01,정의,개인타이머,시작 조건,선택된 할 일로 개인 타이머 시작 · 삭제된 todo면 TODO_DELETED,구현됨(FE+BE),timerComponent · FocusSessionServiceImpl,홈·그룹방·라운지,
,TIMER-02,정의,개인타이머,누적 반영,pause/finish/뽀모도로 완료 시 todo.actualTime 가산,구현됨(BE),FocusSessionServiceImpl.addActualTime,전역,
,,,2. 홈 (중복 없는 홈 전용만 · 레이아웃 제외),,,,,,
,HOME-01,정의,홈,모바일 리다이렉트,모바일에서 / 접근 시 /landing,구현됨(FE),middleware.ts,홈,
,HOME-02,정의,홈,첫 진입 분석,세션당 1회 first_entrance,구현됨(FE),EntranceTracker,홈,
,HOME-03,정의,홈,그룹 목록 API,내 그룹 + 공식 라운지 항상 맨 위,구현됨(FE+BE),GET /groups/my,홈,LOUNGE-05 참조
,HOME-04,정의,홈,라운지 실시간,홈 라운지 카드 3초 polling + WS presence,구현됨(FE+BE),useOfficialLoungeSummary(3000),홈,LOUNGE 정원/입퇴장과 연동
,HOME-05,정의,홈,생성 CTA,새 그룹 생성하기 → RoomModal,구현됨(FE+BE),roomMain · roomModal,홈,GROUP-01과 동일 생성 API
,HOME-06,정의,홈,생성 후 초대 팝업,생성 직후 InviteModal · 방으로 이동 안 함,구현됨(FE),roomMain.handleGroupCreateSuccess,홈,GROUP-02 기본값과 동일
,HOME-07,정의,홈,GA 체류,입장 시각 저장 → group_stay_duration,구현됨(FE),sessionStorage group_enter_time,홈→그룹방,
,GROUP-H01,참조,홈-그룹목록,몰입/휴식 배지,PARTICIPATING≥1 → 몰입 중 else 휴식 중,구현됨(FE),StateButton,홈,정의: GROUP-H01 (그룹방_홈UI)
,GROUP-H02,참조,홈-그룹목록,인원 표시,(PARTICIPATING)/(전체 멤버),구현됨(FE),groupRoom,홈,정의: GROUP-H02
,GROUP-H03,참조,홈-그룹목록,프로필 5+n,최대 5아이콘 · 초과 +n · hover,구현됨(FE),members.tsx,홈,정의: GROUP-H03
,GROUP-S01,참조,홈-그룹목록,일반 그룹 입장,참여하기 → /group/{id},구현됨(FE+BE),groupRoom · getGroupDetail,홈,정의: GROUP-S01
,LOUNGE-03,참조,홈-그룹목록,라운지 입장,POST /lounge/enter → /lounge?entered=1 · 정원 초과 모달,구현됨(FE+BE),useEnterOfficialLounge,홈,정의: LOUNGE-03
,GROUP-L01,참조,홈-그룹목록,그룹 탈퇴(케밥),일반 그룹만 케밥 → DELETE members/me,구현됨(FE+BE),LeavePopup · leaveGroup,홈,정의: GROUP-L01~L03
,GROUP-M01,참조,홈-그룹목록,방장 뱃지,본인 HOST면 왕관,구현됨(FE),groupRoom,홈,정의: GROUP-M01
,MATE-01,참조,홈-메이트,목록,함께한 메이트 · pageSize 6,구현됨(FE+BE),GET /groups/mates,홈,정의: MATE-01
,LOUNGE-12,참조,홈-메이트,그룹 필터(라운지 제외),드롭다운에서 공식 라운지 제외,구현됨(FE),friendMain,홈,정의: LOUNGE-12
,MATE-02,참조,홈-메이트,검색,닉네임 LIKE 검색,구현됨(FE+BE),searchBar,홈,정의: MATE-02
,POKE-01,참조,홈-메이트,콕 찌르기,isActive일 때만 · 공통 그룹 선택,구현됨(FE),forkButton,홈,정의: POKE-01
,SIDE-H-01,참조,홈-Preview,명언,홈에서만 명언 박스,구현됨(FE+BE),Quotes,홈,정의: SIDE-H-01
,SIDE-C-02,참조,홈-Preview,할일 유지,selectedTodoId 유지,데이터만(DB),GroupMySidebar,홈,정의: SIDE-C-02
,SIDE-C-05,참조,홈-Preview,타이머 이탈 차단,타이머 중 페이지 이탈 시 종료 유도,구현됨(FE),useBlockPageNavigation,홈,정의: SIDE-C-05
,INVITE-02,참조,홈-초대모달,내부 초대,메이트 검색·초대,구현됨(FE+BE),inviteModal,홈,정의: INVITE-02
,INVITE-01,참조,홈-초대모달,링크 복사,/invite/{groupId} (라운지는 LOUNGE-10),구현됨(FE),inviteModal,홈,정의: INVITE-01
,ONBOARD-01,참조,홈-온보딩,첫 방문 분기,첫 방문 → onboarding / 약관 등,구현됨(FE),useOnboardingRedirect,홈,정의: ONBOARD-01
,AUTH-05,참조,홈-접근,비로그인 차단,refresh 없으면 /login,구현됨(FE),middleware,홈,정의: AUTH-05
,,,3. 공식라운지,,,,,,
,LOUNGE-01,정의,공식라운지,정체,시스템 운영 단일 공간 · UserGroup 멤버십 없음(Redis presence),구현됨(BE),OfficialLoungeBootstrap,홈·라운지,
,LOUNGE-02,정의,공식라운지,정원,최대 20명 · 초과 시 입장 거부 모달,구현됨(FE+BE),MAX=20 · officialLoungeFull,홈·라운지,
,LOUNGE-03,정의,공식라운지,입장,POST /lounge/enter → /lounge?entered=1,구현됨(FE+BE),OfficialLoungeService,홈,
,LOUNGE-04,정의,공식라운지,퇴장,leave API + pagehide 자동 퇴실,구현됨(FE+BE),lounge leave · pagehide,라운지,
,LOUNGE-05,정의,공식라운지,홈 UI,탈퇴·방장 뱃지 없음 · 전용 입장,구현됨(FE),groupRoom official branch,홈,
,LOUNGE-06,정의,공식라운지,참여상태 동기화,개인타이머↔UserGroup participationStatus 동기화 안 함,구현됨(BE),FocusSessionServiceImpl early return,라운지,
,LOUNGE-07,정의,공식라운지,상단 기능,오늘의 한마디 + 라운지 현황 + 집중체크 개인 토글,구현됨(FE),loungePage,라운지,레이아웃 배치 자체는 정책 제외·기능만
,LOUNGE-08,정의,공식라운지,집중체크,매 시 정각 · 개인 opt-in(User.isOfficialLoungeFocusCheckEnabled),구현됨(FE+BE),OfficialLoungeFocusNotification,라운지,CHG-006 통일 목표
,LOUNGE-09,정의,공식라운지,집중체크 수신,presence 입실 + opt-in (타이머 불필요),구현됨(BE),OfficialLoungeFocusNotificationService,라운지,
,LOUNGE-10,정의,공식라운지,초대 링크,고정 /lounge?entered=1,구현됨(FE),inviteModal OFFICIAL_LOUNGE,라운지·홈,
,LOUNGE-11,정의,공식라운지,초대 권한,라운지 입실 중만 초대·수락 시 enter(),구현됨(BE),OfficialLounge invite,라운지,
,LOUNGE-12,정의,공식라운지,메이트 필터 제외,홈 메이트 드롭다운에서 라운지 제외,구현됨(FE),friendMain,홈,마이페이지는 제외 로직 없음(MYPAGE-M06)
,LOUNGE-13,정의,공식라운지,응원,POST /lounge/cheer · Redis · 전원 퇴실 시 0,구현됨(FE+BE),lounge cheer,라운지,
,LOUNGE-14,정의,공식라운지,멤버카드 상태,isHost false · presence+ActiveFocusSession 직접 계산,구현됨(FE+BE),lounge member card,라운지,
,LOUNGE-15,정의,공식라운지,멤버카드 lastActiveAt,ISO lastActiveAt 직접 사용,구현됨(FE+BE),lounge,라운지,일반 그룹(MCARD-09)과 다름
,LOUNGE-16,정의,공식라운지,입장 거절 로그,정원 초과 등 official_lounge_access_log,구현됨(BE),access log,라운지,
