수집목표,지표유형,업데이트구분,데이터코드,대분류,중분류,데이터명,발생조건,속성예시,현재저장위치,GA4이벤트,파이프라인,수집가능상태,수집불가사유_또는_필요조치,대시보드후보,함께보면좋은지표,비고,등록일
수집필수,원자지표,기존,UG_USER_GROUP_LIST,그룹·멤버십,소속,유저별 보유 그룹방 목록,유저가 속한 모든 그룹(user_group),"user_id,group_id,group_name,role,joined_at",DB:user_group,,수집중(membership_snapshot),즉시수집가능(파이프라인중),이미 스냅샷으로 수집. 유저별 그룹목록 조회 가능,핵심,UG_GROUP_COUNT_PER_USER|UG_LAST_ENTERED,질문하신 상세로그 중 소속목록,2026-07-13
수집필수,파생지표,신규,UG_GROUP_COUNT_PER_USER,그룹·멤버십,소속,유저별 보유 그룹방 개수,membership_snapshot을 user_id로 count,"user_id,group_count",파생(스냅샷),,원천있음·KPI미기재였음,즉시수집가능(파이프라인중),스냅샷에서 집계만 추가하면 됨,핵심,UG_USER_GROUP_LIST,,2026-07-13
수집필수,원자지표,기존,UG_LAST_ENTERED,그룹·멤버십,입장,유저-그룹별 최근 입장 시각,user_group.entered_at (마지막 입장 1개),"user_id,group_id,entered_at,participation_status",DB:user_group.entered_at,,수집중(membership_snapshot+session_entries),부분수집(상태만·이력없음),마지막 입장만 있음. 입장할 때마다 쌓으려면 activity_logs 또는 enter_history 테이블 필요,핵심,UG_ENTER_HISTORY|UG_SESSION_LEAVE,,2026-07-13
수집필수,원자지표,권장,UG_ENTER_HISTORY,그룹·멤버십,입장,그룹방 입장 이력(매번),그룹방 입장 API 호출마다 1행,"user_id,group_id,entered_at",없음(entered_at 덮어쓰기),,미수집,미수집(로그없음·BE/FE보강필요),BE에서 입장 시 history/activity_logs 기록 필요,핵심,UG_LAST_ENTERED|UG_SESSION_LEAVE|GA_GROUP_STAY,,2026-07-13
수집필수,원자지표,기존,UG_SESSION_ENTER,그룹·멤버십,입장,그룹 세션 입장(상태변경),GET /api/groups/{id} 시 entered_at·PARTICIPATING,"group_id,entered_at",DB:user_group,,수집중(session_entries=당일),즉시수집가능(파이프라인중),당일 entered_at만 session_entries. 과거 이력은 스냅샷의 last entered,핵심,,,2026-07-13
수집필수,원자지표,권장,UG_SESSION_LEAVE,그룹·멤버십,퇴장,그룹 세션 퇴장,DELETE /api/groups/{id}/session/me,"group_id,left_at,stay_sec",DB상태변경만(NOT_PARTICIPATING)/체류는GA,,미수집,미수집(로그없음·BE/FE보강필요),퇴장 시각·체류를 DB/activity_logs에 남기고 파이프라인 수집,핵심,GA_GROUP_STAY|UG_ENTER_HISTORY,,2026-07-13
수집필수,원자지표,권장,UG_GROUP_JOIN,그룹·멤버십,가입,그룹 가입,초대수락·초대링크가입 등으로 user_group 생성,"user_id,group_id,joined_at,source",DB:user_group 생성(이벤트로그없음),,스냅샷diff만가능,부분수집(상태만·이력없음),activity_logs GROUP_JOIN 권장. 현재는 스냅샷 전후 비교로 추정,핵심,,,2026-07-13
수집필수,원자지표,권장,UG_GROUP_LEAVE,그룹·멤버십,탈퇴,그룹 탈퇴,DELETE .../members/me → row hard delete,"user_id,group_id,left_at",row삭제(이력소실),,스냅샷diff로소실감지가능,미수집(로그없음·BE/FE보강필요),탈퇴 전 soft-delete 또는 activity_logs 필수,핵심,,,2026-07-13
수집필수,원자지표,기존,UG_GROUP_CREATE,그룹·멤버십,생성,그룹 생성,POST /api/groups,"group_id,host_user_id,created_at",DB:mogak_groups,,미수집,즉시수집가능(DB있음·파이프라인확장),created_at 일별 수집 추가,핵심,,,2026-07-13
수집필수,원자지표,기존,UG_GROUP_UPDATE,그룹·멤버십,수정,그룹 정보 수정,PUT /api/groups/{id},changed_fields,DB:mogak_groups(덮어쓰기),,미수집,부분수집(상태만·이력없음),변경 이력 필요 시 activity_logs,참고,,,2026-07-13
수집필수,원자지표,권장,UG_MEMBER_KICK,그룹·멤버십,강퇴,멤버 강퇴,DELETE .../members/{userId},"host_id,target_user_id,group_id",row삭제,,미수집,미수집(로그없음·BE/FE보강필요),activity_logs + FE연동여부확인,후보,,,2026-07-13
수집필수,원자지표,기존,UG_HOST_ACK,그룹·멤버십,방장,새 방장 확인,GET/PUT .../host-ack,"group_id,user_id",DB:user_group,,미수집,즉시수집가능(DB있음·파이프라인확장),필요시 파이프라인/로그 추가,참고,,,2026-07-13
수집필수,원자지표,기존,UG_GOAL_SET,그룹·멤버십,설정,그룹 목표 설정,PUT .../goals,goal fields,DB:mogak_groups,,미수집,즉시수집가능(DB있음·파이프라인확장),,참고,,,2026-07-13
